pred\true	0	1	2	3	4	5	6	7	8	9	total	precision
0	86	0	1	0	0	1	1	0	1	1	91	0.945054945055
1	0	103	0	0	0	0	1	2	0	0	106	0.971698113208
2	0	1	94	2	0	0	0	5	2	0	104	0.903846153846
3	0	0	1	87	0	3	0	0	7	2	100	0.87
4	0	1	0	0	101	0	1	0	2	3	108	0.935185185185
5	0	0	0	7	0	80	4	1	1	1	94	0.851063829787
6	2	1	2	0	2	0	82	0	0	0	89	0.921348314607
7	0	0	1	1	1	0	0	84	1	1	89	0.943820224719
8	2	2	4	1	0	7	2	2	89	4	113	0.787610619469
9	0	0	0	2	3	1	0	12	0	88	106	0.830188679245
total	90	108	103	100	107	92	91	106	103	100	1000	
sensitivity	0.955555555556	0.953703703704	0.912621359223	0.87	0.943925233645	0.869565217391	0.901098901099	0.792452830189	0.864077669903	0.88		894
